product-id,base-url,date,clouds
LC08_L1TP_231089_20130414_20170505_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20130414_20170505_01_T1,2013-04-14,24.98
LC08_L1TP_231089_20130516_20170504_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20130516_20170504_01_T1,2013-05-16,0.85
LC08_L1TP_231089_20130601_20170504_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20130601_20170504_01_T1,2013-06-01,40.0
LC08_L1TP_231089_20130617_20170503_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20130617_20170503_01_T1,2013-06-17,24.99
LC08_L1TP_231089_20130703_20170503_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20130703_20170503_01_T1,2013-07-03,15.5
LC08_L1TP_231089_20130719_20170503_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20130719_20170503_01_T1,2013-07-19,20.91
LC08_L1TP_231089_20130820_20170502_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20130820_20170502_01_T1,2013-08-20,41.4
LC08_L1TP_231089_20130905_20170502_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20130905_20170502_01_T1,2013-09-05,57.68
LC08_L1TP_231089_20131007_20170429_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20131007_20170429_01_T1,2013-10-07,34.97
LC08_L1TP_231089_20131023_20170429_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20131023_20170429_01_T1,2013-10-23,6.91
LC08_L1TP_231089_20131124_20170428_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20131124_20170428_01_T1,2013-11-24,63.42
LC08_L1TP_231089_20131210_20170428_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20131210_20170428_01_T1,2013-12-10,0.22
