product-id,base-url,date,clouds,month,year,raster,raster_cloud,match,raster_path,raster_cloud_path,clouds-on-roi,clouds-on-roi-minimal,raster_crs,count-on-roi-minimal-ndwi,count-on-roi-minimal-mndwi,ndwi_path,mask_ndwi_path,mndwi_path,mask_mndwi_path,threshold_value,area_km2,images
LT05_L1TP_231089_19850127_20170219_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19850127_20170219_01_T1,1985-01-27,1.0,1,1985,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19850127_20170219_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19850127_20170219_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,154,23,./products/images-crop/LT05_L1TP_231089_19850127_20170219_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19850127_20170219_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19850127_20170219_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19850127_20170219_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.1386,./products/image/LT05_L1TP_231089_19850127_20170219_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19850127_20170219_01_T1_idx-342.png
LT05_L1TP_231089_19860114_20170218_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19860114_20170218_01_T1,1986-01-14,21.0,1,1986,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19860114_20170218_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19860114_20170218_01_T1_CLOUDS_idx.TIF,0.09549488821480732,0.0,EPSG:32719,42,17,./products/images-crop/LT05_L1TP_231089_19860114_20170218_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860114_20170218_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19860114_20170218_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860114_20170218_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.0378,./products/image/LT05_L1TP_231089_19860114_20170218_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19860114_20170218_01_T1_idx-342.png
LT05_L1TP_231089_19860130_20170218_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19860130_20170218_01_T1,1986-01-30,68.0,1,1986,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19860130_20170218_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19860130_20170218_01_T1_CLOUDS_idx.TIF,72.16604875856645,100.0,EPSG:32719,0,0,./products/images-crop/LT05_L1TP_231089_19860130_20170218_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860130_20170218_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19860130_20170218_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860130_20170218_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.0,./products/image/LT05_L1TP_231089_19860130_20170218_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19860130_20170218_01_T1_idx-342.png
LT05_L1TP_231089_19860303_20170218_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19860303_20170218_01_T1,1986-03-03,67.0,3,1986,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19860303_20170218_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19860303_20170218_01_T1_CLOUDS_idx.TIF,90.21458263116504,98.47645429362882,EPSG:32719,6,0,./products/images-crop/LT05_L1TP_231089_19860303_20170218_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860303_20170218_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19860303_20170218_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860303_20170218_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.0054,./products/image/LT05_L1TP_231089_19860303_20170218_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19860303_20170218_01_T1_idx-342.png
LT05_L1TP_231089_19860319_20170218_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19860319_20170218_01_T1,1986-03-19,4.0,3,1986,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19860319_20170218_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19860319_20170218_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,67,9,./products/images-crop/LT05_L1TP_231089_19860319_20170218_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860319_20170218_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19860319_20170218_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860319_20170218_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.0603,./products/image/LT05_L1TP_231089_19860319_20170218_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19860319_20170218_01_T1_idx-342.png
LT05_L1TP_231089_19860725_20170217_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19860725_20170217_01_T1,1986-07-25,44.0,7,1986,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19860725_20170217_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19860725_20170217_01_T1_CLOUDS_idx.TIF,4.3927648578811365,16.62049861495845,EPSG:32719,2,0,./products/images-crop/LT05_L1TP_231089_19860725_20170217_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860725_20170217_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19860725_20170217_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860725_20170217_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.0018,./products/image/LT05_L1TP_231089_19860725_20170217_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19860725_20170217_01_T1_idx-342.png
LT05_L1TP_231089_19860810_20170216_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19860810_20170216_01_T1,1986-08-10,32.0,8,1986,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19860810_20170216_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19860810_20170216_01_T1_CLOUDS_idx.TIF,0.27524997191326817,0.0,EPSG:32719,468,358,./products/images-crop/LT05_L1TP_231089_19860810_20170216_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860810_20170216_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19860810_20170216_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860810_20170216_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.4212,./products/image/LT05_L1TP_231089_19860810_20170216_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19860810_20170216_01_T1_idx-342.png
LT05_L1TP_231089_19860911_20170216_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19860911_20170216_01_T1,1986-09-11,8.0,9,1986,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19860911_20170216_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19860911_20170216_01_T1_CLOUDS_idx.TIF,3.1063925401640264,0.0,EPSG:32719,140,93,./products/images-crop/LT05_L1TP_231089_19860911_20170216_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860911_20170216_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19860911_20170216_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860911_20170216_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.126,./products/image/LT05_L1TP_231089_19860911_20170216_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19860911_20170216_01_T1_idx-342.png
LT05_L1TP_231089_19860927_20170216_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19860927_20170216_01_T1,1986-09-27,1.0,9,1986,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19860927_20170216_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19860927_20170216_01_T1_CLOUDS_idx.TIF,0.044938770924615214,0.0,EPSG:32719,137,80,./products/images-crop/LT05_L1TP_231089_19860927_20170216_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860927_20170216_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19860927_20170216_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860927_20170216_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.1233,./products/image/LT05_L1TP_231089_19860927_20170216_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19860927_20170216_01_T1_idx-342.png
LT05_L1TP_231089_19861013_20170216_01_T1,gs://gcp-public-data-landsat/LT05/01/231/089/LT05_L1TP_231089_19861013_20170216_01_T1,1986-10-13,60.0,10,1986,,,TOTAL,./products/images-crop/LT05_L1TP_231089_19861013_20170216_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19861013_20170216_01_T1_CLOUDS_idx.TIF,14.155712841253793,0.0,EPSG:32719,146,56,./products/images-crop/LT05_L1TP_231089_19861013_20170216_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19861013_20170216_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19861013_20170216_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19861013_20170216_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25,0.1314,./products/image/LT05_L1TP_231089_19861013_20170216_01_T1_idx-210.png#./products/image/LT05_L1TP_231089_19861013_20170216_01_T1_idx-342.png
