raster,raster_cloud,match,raster_path,raster_cloud_path,clouds-on-roi,clouds-on-roi-minimal,raster_crs,count-on-roi-minimal-ndwi,count-on-roi-minimal-mndwi,ndwi_path,mask_ndwi_path,mndwi_path,mask_mndwi_path,threshold_value
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19850127_20170219_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19850127_20170219_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,154,23,./products/images-crop/LT05_L1TP_231089_19850127_20170219_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19850127_20170219_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19850127_20170219_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19850127_20170219_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19860114_20170218_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19860114_20170218_01_T1_CLOUDS_idx.TIF,0.09549488821480732,0.0,EPSG:32719,42,17,./products/images-crop/LT05_L1TP_231089_19860114_20170218_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860114_20170218_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19860114_20170218_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860114_20170218_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19860130_20170218_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19860130_20170218_01_T1_CLOUDS_idx.TIF,72.16604875856645,100.0,EPSG:32719,0,0,./products/images-crop/LT05_L1TP_231089_19860130_20170218_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860130_20170218_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19860130_20170218_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860130_20170218_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19860303_20170218_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19860303_20170218_01_T1_CLOUDS_idx.TIF,90.21458263116504,98.47645429362882,EPSG:32719,6,0,./products/images-crop/LT05_L1TP_231089_19860303_20170218_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860303_20170218_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19860303_20170218_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860303_20170218_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19860319_20170218_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19860319_20170218_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,67,9,./products/images-crop/LT05_L1TP_231089_19860319_20170218_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860319_20170218_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19860319_20170218_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860319_20170218_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19860725_20170217_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19860725_20170217_01_T1_CLOUDS_idx.TIF,4.3927648578811365,16.62049861495845,EPSG:32719,2,0,./products/images-crop/LT05_L1TP_231089_19860725_20170217_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860725_20170217_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19860725_20170217_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860725_20170217_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19860810_20170216_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19860810_20170216_01_T1_CLOUDS_idx.TIF,0.27524997191326817,0.0,EPSG:32719,468,358,./products/images-crop/LT05_L1TP_231089_19860810_20170216_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860810_20170216_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19860810_20170216_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860810_20170216_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19860911_20170216_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19860911_20170216_01_T1_CLOUDS_idx.TIF,3.1063925401640264,0.0,EPSG:32719,140,93,./products/images-crop/LT05_L1TP_231089_19860911_20170216_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860911_20170216_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19860911_20170216_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860911_20170216_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19860927_20170216_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19860927_20170216_01_T1_CLOUDS_idx.TIF,0.044938770924615214,0.0,EPSG:32719,137,80,./products/images-crop/LT05_L1TP_231089_19860927_20170216_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860927_20170216_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19860927_20170216_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19860927_20170216_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19861013_20170216_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19861013_20170216_01_T1_CLOUDS_idx.TIF,14.155712841253793,0.0,EPSG:32719,146,56,./products/images-crop/LT05_L1TP_231089_19861013_20170216_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19861013_20170216_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19861013_20170216_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19861013_20170216_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19861029_20170216_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19861029_20170216_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,121,13,./products/images-crop/LT05_L1TP_231089_19861029_20170216_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19861029_20170216_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19861029_20170216_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19861029_20170216_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19861114_20170216_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19861114_20170216_01_T1_CLOUDS_idx.TIF,73.72205370183126,59.556786703601105,EPSG:32719,75,2,./products/images-crop/LT05_L1TP_231089_19861114_20170216_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19861114_20170216_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19861114_20170216_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19861114_20170216_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19980216_20161225_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19980216_20161225_01_T1_CLOUDS_idx.TIF,85.35557802494101,72.29916897506925,EPSG:32719,0,0,./products/images-crop/LT05_L1TP_231089_19980216_20161225_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980216_20161225_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19980216_20161225_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980216_20161225_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19980320_20161225_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19980320_20161225_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,2,0,./products/images-crop/LT05_L1TP_231089_19980320_20161225_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980320_20161225_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19980320_20161225_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980320_20161225_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19980608_20161224_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19980608_20161224_01_T1_CLOUDS_idx.TIF,0.7583417593528816,0.8310249307479225,EPSG:32719,405,175,./products/images-crop/LT05_L1TP_231089_19980608_20161224_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980608_20161224_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19980608_20161224_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980608_20161224_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19980912_20161223_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19980912_20161223_01_T1_CLOUDS_idx.TIF,94.55117402539041,99.03047091412742,EPSG:32719,0,0,./products/images-crop/LT05_L1TP_231089_19980912_20161223_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980912_20161223_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19980912_20161223_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980912_20161223_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19980928_20161221_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19980928_20161221_01_T1_CLOUDS_idx.TIF,8.1226828446242,0.0,EPSG:32719,7,0,./products/images-crop/LT05_L1TP_231089_19980928_20161221_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980928_20161221_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19980928_20161221_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19980928_20161221_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19981014_20161221_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19981014_20161221_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,0,0,./products/images-crop/LT05_L1TP_231089_19981014_20161221_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19981014_20161221_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19981014_20161221_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19981014_20161221_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19981217_20161220_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19981217_20161220_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,0,0,./products/images-crop/LT05_L1TP_231089_19981217_20161220_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19981217_20161220_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19981217_20161220_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19981217_20161220_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19990118_20161219_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19990118_20161219_01_T1_CLOUDS_idx.TIF,0.0,0.0,EPSG:32719,0,0,./products/images-crop/LT05_L1TP_231089_19990118_20161219_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19990118_20161219_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19990118_20161219_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19990118_20161219_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19990307_20161219_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19990307_20161219_01_T1_CLOUDS_idx.TIF,100.0,100.0,EPSG:32719,0,0,./products/images-crop/LT05_L1TP_231089_19990307_20161219_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19990307_20161219_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19990307_20161219_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19990307_20161219_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
,,TOTAL,./products/images-crop/LT05_L1TP_231089_19990323_20161218_01_T1_idx.TIF,./products/images-crop/LT05_L1TP_231089_19990323_20161218_01_T1_CLOUDS_idx.TIF,100.0,100.0,EPSG:32719,0,0,./products/images-crop/LT05_L1TP_231089_19990323_20161218_01_T1_idx-NDWI.TIF,./products/images-crop/LT05_L1TP_231089_19990323_20161218_01_T1_idx-NDWI-MASK-SIMPLE.TIF,./products/images-crop/LT05_L1TP_231089_19990323_20161218_01_T1_idx-MNDWI.TIF,./products/images-crop/LT05_L1TP_231089_19990323_20161218_01_T1_idx-MNDWI-MASK-SIMPLE.TIF,0.25
